millis,stamp,datetime,humidity,temp
131400000,1669088638,"2022/11/22 3:43:58",30.00,21.40
131699998,1669088938,"2022/11/22 3:48:58",30.10,21.40
131999998,1669089238,"2022/11/22 3:53:58",29.90,21.40
132300000,1669089538,"2022/11/22 3:58:58",30.50,21.30
132599999,1669089838,"2022/11/22 4:3:58",30.10,21.30
132899998,1669090137,"2022/11/22 4:8:57",30.20,21.30
133199998,1669090437,"2022/11/22 4:13:57",30.00,21.30
133500000,1669090737,"2022/11/22 4:18:57",29.90,21.20
133800000,1669091037,"2022/11/22 4:23:57",30.00,21.20
134099998,1669091337,"2022/11/22 4:28:57",30.00,21.20
